SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
540935,GALAXYSURF  ,A ,Q,2252.60,2255.10,2156.05,2179.75,2179.75,2237.50,1105,4963,10901929.00,
540936,GGL         ,T ,Q,40.80,40.80,40.00,40.50,40.50,38.90,66,1233,50238.00,
540954,IWP         ,X ,Q,34.30,36.45,33.00,34.30,34.20,34.20,310,52459,1840430.00,
540955,TDSL        ,B ,Q,27.80,27.80,26.50,26.75,26.75,26.20,31,9849,264808.00,
540956,BHATIA      ,B ,Q,66.75,66.75,66.75,66.75,66.75,66.75,1,21,1401.00,
540961,SHIVAMILLS  ,T ,Q,37.45,37.45,36.15,37.20,37.20,35.70,68,11039,411903.00,
540975,ASTERDM     ,A ,Q,154.00,154.00,148.45,149.05,149.05,155.10,1004,34878,5254856.00,
540981,KTKIND4RG   ,B ,Q,14.99,14.99,14.99,14.99,14.99,15.07,1,1,14.00,
541005,KANCOTEA    ,X ,Q,47.55,52.25,47.35,52.25,52.25,49.80,38,2419,117778.00,
541019,HGINFRA     ,A ,Q,292.65,309.95,286.30,299.70,299.70,290.00,892,28197,8534441.00,
541053,EIS         ,M ,Q,1005.00,1005.00,1005.00,1005.00,1005.00,1020.00,2,9600,9648000.00,
541083,INFLAME     ,M ,Q,160.40,160.40,160.00,160.20,160.40,152.80,19,21000,3367500.00,
541092,ABSLRIF6RG  ,B ,Q,8.20,8.45,7.78,8.21,8.21,8.04,33,54432,438138.00,
541096,BPLPHARMA   ,XT,Q,395.00,395.00,377.00,384.15,384.95,393.85,41,2919,1114598.00,
541097,LIQUIDETF   ,F ,Q,999.99,1000.01,999.99,1000.01,1000.00,999.99,31,10249,10249062.00,
541143,BDL         ,A ,Q,346.25,346.40,338.10,340.05,340.95,343.25,231,9600,3277269.00,
541153,BANDHANBNK  ,A ,Q,329.00,334.50,321.25,331.35,331.35,328.15,10611,477739,155917675.00,
541154,HAL         ,A ,Q,1023.80,1023.80,993.00,1007.50,1007.50,1014.85,1484,27136,27316116.00,
541161,KARDA       ,B ,Q,105.00,105.35,104.50,105.10,105.10,104.90,45,2908,305076.00,
541163,SANDHAR     ,B ,Q,239.50,247.70,237.20,246.45,247.70,239.40,123,1467,354444.00,
541167,YASHO       ,B ,Q,230.00,259.50,225.00,246.20,245.00,224.35,331,27790,6752156.00,
541178,BENARA      ,M ,Q,11.50,11.50,11.50,11.50,11.50,11.60,1,2000,23000.00,
541179,ISEC        ,A ,Q,410.00,424.05,410.00,417.45,417.45,408.30,2365,63778,26667878.00,
541195,MIDHANI     ,A ,Q,190.00,190.70,185.70,186.00,186.00,187.90,1070,57116,10693732.00,
541233,LEMONTREE   ,A ,Q,42.15,42.55,41.25,41.40,41.65,42.30,385,97919,4063763.00,
541256,IPRU3081    ,F ,Q,12.10,12.10,12.10,12.10,12.10,11.21,4,9000,108900.00,
541257,IPRU3082    ,F ,Q,12.00,12.00,12.00,12.00,12.00,12.00,2,5600,67200.00,
541269,CHEMFABALKA ,B ,Q,135.00,135.00,129.00,130.60,131.00,134.70,215,2810,371609.00,
541276,HARDWYN     ,M ,Q,67.00,71.95,67.00,71.95,71.95,69.40,3,15000,1054500.00,
541301,ORIENTELEC  ,A ,Q,285.00,286.00,275.20,279.50,280.00,283.95,798,26170,7289338.00,
